"DOC_000001","LIC_100001","Van","Ngu","van.ngu@h4u.com.vn","0903000001","ALLERGY","PH.D","2020-10-01 00:00:00","MALE","vannguyen","3470ee5a76990c2a07ea6c1088b04038"
"DOC_000002","LIC_100002","Cha","Doa","cha.doa@h4u.com.vn","0903000002","CARDIOLOGY","MASTER","2020-10-02 00:00:00","FEMALE","chaudoan","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000003","LIC_100003","Tra","Van","tra.van@h4u.com.vn","0903000003","DERMATOLOGY","PH.D","2020-10-03 00:00:00","MALE","tranvan","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000004","LIC_100004","Kie","Tho","kie.tho@h4u.com.vn","0903000004","DIETETICS","BACHELOR","2020-10-04 00:00:00","MALE","kientho","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000005","LIC_100005","Gia","Cat","gia.cat@h4u.com.vn","0903000005","NEUROLOGY","MASTER","2020-10-04 00:00:00","FEMALE","giangca","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000006","LIC_100006","Dao","Lyn","dao.lyn@h4u.com.vn","0903000006","GASTROENTEROLOGY","PH.D","2021-03-01 00:00:00","FEMALE","daoly","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000007","LIC_100007","Dun","Thu","dun.thu@h4u.com.vn","0903000007","ALLERGY","BACHELOR","2021-03-02 00:00:00","MALE","dungthuong","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000008","LIC_100008","Con","Son","con.son@h4u.com.vn","0903000008","CARDIOLOGY","MASTER","2021-03-03 00:00:00","FEMALE","soso","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000009","LIC_100009","Ngo","Len","ngo.len@h4u.com.vn","0903000009","DERMATOLOGY","BACHELOR","2021-03-04 00:00:00","FEMALE","ngoanle","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000010","LIC_100010","Hie","Con","hie.con@h4u.com.vn","0903000010","DIETETICS","MASTER","2021-03-05 00:00:00","MALE","hienco","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000011","LIC_100011","Chu","Hol","chu.hol@h4u.com.vn","0903000011","NEUROLOGY","PH.D","2021-04-01 00:00:00","FEMALE","chutho","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000012","LIC_100012","Tru","Lon","tru.lon@h4u.com.vn","0903000012","GASTROENTEROLOGY","PH.D","2021-04-02 00:00:00","MALE","truclong","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000013","LIC_100013","Nav","Ugn","nav.ugn@h4u.com.vn","0903000013","ALLERGY","MASTER","2021-04-03 00:00:00","FEMALE","navugn","3470ee5a76990c2a07ea6c1088b04038"
"DOC_000014","LIC_100014","Ahc","Aod","ahc.aod@h4u.com.vn","0903000014","CARDIOLOGY","BACHELOR","2021-04-04 00:00:00","MALE","ahcaod","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000015","LIC_100015","Atr","Nav","atr.nav@h4u.com.vn","0903000015","DERMATOLOGY","PH.D","2021-04-05 00:00:00","FEMALE","atrnav","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000016","LIC_100016","Eik","Oth","eik.oth@h4u.com.vn","0903000016","DIETETICS","MASTER","2021-04-06 00:00:00","MALE","eikoth","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000017","LIC_100017","Aig","Tac","aig.tac@h4u.com.vn","0903000017","NEUROLOGY","BACHELOR","2021-04-07 00:00:00","MALE","aigtac","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000018","LIC_100018","Oad","Nyl","oad.nyl@h4u.com.vn","0903000018","GASTROENTEROLOGY","PH.D","2021-04-08 00:00:00","FEMALE","oadnyl","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000019","LIC_100019","Nud","Uht","nud.uht@h4u.com.vn","0903000019","ALLERGY","MASTER","2021-04-09 00:00:00","MALE","nuduht","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000020","LIC_100020","Noc","Nos","noc.nos@h4u.com.vn","0903000020","CARDIOLOGY","BACHELOR","2021-04-10 00:00:00","FEMALE","nocnos","81bb935a68fabead0d06dc34f57b1c3b"
"DOC_000021","LIC_100021","Not","Noz","not.noz@h4u.com.vn","0903000021","CARDIOLOGY","BACHELOR","2021-10-01 00:00:00","FEMALE","notnoz","81bb935a68fabead0d06dc34f57b1c3b"
